prof_id,week_day,hour,semester,academic_year,module,degree,room,degree_year
64,Tue,8,1,2023/2024,Biomedicine and bioinformatics databases Fundamentals of database systems Lab.,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,Aula Alfa [Borgo Roma - Ca' Vignal 2],1
64,Tue,9,1,2023/2024,Biomedicine and bioinformatics databases Fundamentals of database systems Lab.,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,Aula Alfa [Borgo Roma - Ca' Vignal 2],1
64,Wed,8,1,2023/2024,Healthcare information systems,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,Aula T.06 [Borgo Roma - Ca' Vignal 3],2
64,Wed,9,1,2023/2024,Healthcare information systems,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,Aula T.06 [Borgo Roma - Ca' Vignal 3],2
8,Fri,8,1,2023/2024,Molecular oncology,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,Aula T.02 [Borgo Roma - Ca' Vignal 3],1
8,Fri,9,1,2023/2024,Molecular oncology,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,Aula T.02 [Borgo Roma - Ca' Vignal 3],1
8,Mon,16,1,2023/2024,Molecular oncology,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,Aula T.02 [Borgo Roma - Ca' Vignal 3],1
8,Mon,17,1,2023/2024,Molecular oncology,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,Aula T.02 [Borgo Roma - Ca' Vignal 3],1
5,Tue,13,1,2023/2024,Biologia generale e cellulare BIOLOGIA GENERALE E CELLULARE: I,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,Aula magna [Borgo Roma - Ca' Vignal 3],1
5,Tue,14,1,2023/2024,Biologia generale e cellulare BIOLOGIA GENERALE E CELLULARE: I,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,Aula magna [Borgo Roma - Ca' Vignal 3],1
5,Wed,8,1,2023/2024,Biologia generale e cellulare BIOLOGIA GENERALE E CELLULARE: I,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,Aula magna [Borgo Roma - Ca' Vignal 3],1
5,Wed,9,1,2023/2024,Biologia generale e cellulare BIOLOGIA GENERALE E CELLULARE: I,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,Aula magna [Borgo Roma - Ca' Vignal 3],1
111,Fri,12,1,2023/2024,Probability for data science,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,Aula L [Borgo Roma - Ca' Vignal 2],1
111,Fri,13,1,2023/2024,Probability for data science,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,Aula L [Borgo Roma - Ca' Vignal 2],1
111,Thu,10,1,2023/2024,Probability for data science,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,Aula L [Borgo Roma - Ca' Vignal 2],1
111,Thu,11,1,2023/2024,Probability for data science,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,Aula L [Borgo Roma - Ca' Vignal 2],1
111,Thu,12,1,2023/2024,Probability for data science,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,Aula L [Borgo Roma - Ca' Vignal 2],1
111,Thu,16,1,2023/2024,Sistemi stocastici,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,Aula F [Borgo Roma - Ca' Vignal 1],3
111,Thu,17,1,2023/2024,Sistemi stocastici,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,Aula F [Borgo Roma - Ca' Vignal 1],3
111,Tue,11,1,2023/2024,Sistemi stocastici,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,Aula F [Borgo Roma - Ca' Vignal 1],3
111,Tue,12,1,2023/2024,Sistemi stocastici,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,Aula F [Borgo Roma - Ca' Vignal 1],3
111,Thu,16,1,2023/2024,Sistemi stocastici,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,Aula F [Borgo Roma - Ca' Vignal 1],3
111,Thu,17,1,2023/2024,Sistemi stocastici,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,Aula F [Borgo Roma - Ca' Vignal 1],3
111,Tue,11,1,2023/2024,Sistemi stocastici,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,Aula F [Borgo Roma - Ca' Vignal 1],3
111,Tue,12,1,2023/2024,Sistemi stocastici,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,Aula F [Borgo Roma - Ca' Vignal 1],3
4,Fri,8,1,2023/2024,Ecologia applicata,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,Aula T.04 [Borgo Roma - Ca' Vignal 3],3
4,Fri,9,1,2023/2024,Ecologia applicata,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,Aula T.04 [Borgo Roma - Ca' Vignal 3],3
4,Fri,14,1,2023/2024,Ecologia per le biorisorse Teoria,Laurea magistrale in Biotecnologie per le biorisorse e lo sviluppo ecosostenibile [907] Corsi di laurea magistrale - UNICO,Aula 1.02 [Borgo Roma - Ca' Vignal 3],"[1,2]"
4,Fri,15,1,2023/2024,Ecologia per le biorisorse Teoria,Laurea magistrale in Biotecnologie per le biorisorse e lo sviluppo ecosostenibile [907] Corsi di laurea magistrale - UNICO,Aula 1.02 [Borgo Roma - Ca' Vignal 3],"[1,2]"
4,Thu,8,1,2023/2024,Ecologia applicata,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,Aula T.04 [Borgo Roma - Ca' Vignal 3],3
4,Thu,9,1,2023/2024,Ecologia applicata,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,Aula T.04 [Borgo Roma - Ca' Vignal 3],3
4,Thu,10,1,2023/2024,Ecologia applicata,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,Aula T.04 [Borgo Roma - Ca' Vignal 3],3
4,Thu,15,1,2023/2024,Ecologia per le biorisorse Teoria,Laurea magistrale in Biotecnologie per le biorisorse e lo sviluppo ecosostenibile [907] Corsi di laurea magistrale - UNICO,Aula 1.02 [Borgo Roma - Ca' Vignal 3],"[1,2]"
4,Thu,16,1,2023/2024,Ecologia per le biorisorse Teoria,Laurea magistrale in Biotecnologie per le biorisorse e lo sviluppo ecosostenibile [907] Corsi di laurea magistrale - UNICO,Aula 1.02 [Borgo Roma - Ca' Vignal 3],"[1,2]"
4,Wed,8,1,2023/2024,Ecologia applicata,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,Aula T.04 [Borgo Roma - Ca' Vignal 3],3
4,Wed,9,1,2023/2024,Ecologia applicata,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,Aula T.04 [Borgo Roma - Ca' Vignal 3],3
4,Wed,10,1,2023/2024,Ecologia applicata,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,Aula T.04 [Borgo Roma - Ca' Vignal 3],3
75,Mon,15,1,2023/2024,Genetica e miglioramento di colture industriali no food,Laurea magistrale in Biotecnologie per le biorisorse e lo sviluppo ecosostenibile [907] Corsi di laurea magistrale - UNICO,Aula 1.02 [Borgo Roma - Ca' Vignal 3],1
75,Mon,16,1,2023/2024,Genetica e miglioramento di colture industriali no food,Laurea magistrale in Biotecnologie per le biorisorse e lo sviluppo ecosostenibile [907] Corsi di laurea magistrale - UNICO,Aula 1.02 [Borgo Roma - Ca' Vignal 3],1
75,Wed,13,1,2023/2024,Genetica e miglioramento di colture industriali no food,Laurea magistrale in Biotecnologie per le biorisorse e lo sviluppo ecosostenibile [907] Corsi di laurea magistrale - UNICO,Aula 1.02 [Borgo Roma - Ca' Vignal 3],1
75,Wed,14,1,2023/2024,Genetica e miglioramento di colture industriali no food,Laurea magistrale in Biotecnologie per le biorisorse e lo sviluppo ecosostenibile [907] Corsi di laurea magistrale - UNICO,Aula 1.02 [Borgo Roma - Ca' Vignal 3],1
34,Thu,8,1,2023/2024,Biologia sintetica della produttività vegetale Laboratorio,Laurea magistrale in Biotecnologie agro-alimentari [388] Corsi di laurea magistrale - UNICO,Laboratorio di Biotecnologie genetiche [Borgo Roma - Ca' Vignal 3],2
34,Thu,9,1,2023/2024,Biologia sintetica della produttività vegetale Laboratorio,Laurea magistrale in Biotecnologie agro-alimentari [388] Corsi di laurea magistrale - UNICO,Laboratorio di Biotecnologie genetiche [Borgo Roma - Ca' Vignal 3],2
34,Thu,10,1,2023/2024,Biologia sintetica della produttività vegetale Laboratorio,Laurea magistrale in Biotecnologie agro-alimentari [388] Corsi di laurea magistrale - UNICO,Laboratorio di Biotecnologie genetiche [Borgo Roma - Ca' Vignal 3],2
34,Thu,11,1,2023/2024,Biologia sintetica della produttività vegetale Laboratorio,Laurea magistrale in Biotecnologie agro-alimentari [388] Corsi di laurea magistrale - UNICO,Laboratorio di Biotecnologie genetiche [Borgo Roma - Ca' Vignal 3],2
49,Thu,13,1,2023/2024,Software security Teoria,Laurea magistrale in Ingegneria e scienze informatiche [417] Corsi di laurea magistrale - Classe LM-32,Aula T.03 [Borgo Roma - Ca' Vignal 3],2
49,Thu,14,1,2023/2024,Software security Teoria,Laurea magistrale in Ingegneria e scienze informatiche [417] Corsi di laurea magistrale - Classe LM-32,Aula T.03 [Borgo Roma - Ca' Vignal 3],2
49,Thu,15,1,2023/2024,Software security Teoria,Laurea magistrale in Ingegneria e scienze informatiche [417] Corsi di laurea magistrale - Classe LM-32,Aula T.03 [Borgo Roma - Ca' Vignal 3],2
49,Wed,12,1,2023/2024,Software security Laboratorio,Laurea magistrale in Ingegneria e scienze informatiche [417] Corsi di laurea magistrale - Classe LM-32,Aula T.03 [Borgo Roma - Ca' Vignal 3],2
49,Wed,13,1,2023/2024,Software security Laboratorio,Laurea magistrale in Ingegneria e scienze informatiche [417] Corsi di laurea magistrale - Classe LM-32,Aula T.03 [Borgo Roma - Ca' Vignal 3],2
28,Fri,10,1,2023/2024,Molecular pharmacology,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,Aula T.02 [Borgo Roma - Ca' Vignal 3],1
28,Fri,11,1,2023/2024,Molecular pharmacology,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,Aula T.02 [Borgo Roma - Ca' Vignal 3],1
28,Thu,10,1,2023/2024,Toxicology and applied pharmacology,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,Aula T.02 [Borgo Roma - Ca' Vignal 3],2
28,Thu,11,1,2023/2024,Toxicology and applied pharmacology,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,Aula T.02 [Borgo Roma - Ca' Vignal 3],2
28,Tue,12,1,2023/2024,Molecular pharmacology,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,Aula T.02 [Borgo Roma - Ca' Vignal 3],1
28,Tue,13,1,2023/2024,Molecular pharmacology,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,Aula T.02 [Borgo Roma - Ca' Vignal 3],1
28,Wed,11,1,2023/2024,Toxicology and applied pharmacology,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,Aula T.02 [Borgo Roma - Ca' Vignal 3],2
