module_id,prof_id,n_hours,degree,degree_year
44,4,2,Laurea magistrale in Biotecnologie per le biorisorse e lo sviluppo ecosostenibile [907] Corsi di laurea magistrale - UNICO,"[1,2]"
45,55,2,Laurea in Informatica [420] Corsi di laurea - UNICO,3
46,55,3,Laurea in Informatica [420] Corsi di laurea - UNICO,3
47,88,3,Laurea in Informatica [420] Corsi di laurea - UNICO,3
48,9,2,Laurea in Innovazione e sostenibilita' nella produzione industriale di alimenti [1049] Corsi di laurea - UNICO,1
49,17,3,Laurea interateneo in Ingegneria dei Sistemi Medicali per la persona [1001] Corsi di laurea - SEGNALI E DATI,2
49,17,2,Laurea interateneo in Ingegneria dei Sistemi Medicali per la persona [1001] Corsi di laurea - SEGNALI E DATI,2
49,17,3,Laurea interateneo in Ingegneria dei Sistemi Medicali per la persona [1001] Corsi di laurea - DISPOSITIVI E ROBOT,2
49,17,2,Laurea interateneo in Ingegneria dei Sistemi Medicali per la persona [1001] Corsi di laurea - DISPOSITIVI E ROBOT,2
50,86,3,Laurea magistrale in Computer Engineering for Robotics and Smart Industry [954] Corsi di laurea magistrale - UNICO,1
51,86,2,Laurea magistrale in Computer Engineering for Robotics and Smart Industry [954] Corsi di laurea magistrale - UNICO,1
52,45,2,Laurea magistrale in Biotecnologie per le biorisorse e lo sviluppo ecosostenibile [907] Corsi di laurea magistrale - UNICO,1
52,45,4,Laurea magistrale in Biotecnologie per le biorisorse e lo sviluppo ecosostenibile [907] Corsi di laurea magistrale - UNICO,1
53,45,1,Laurea magistrale in Biotecnologie per le biorisorse e lo sviluppo ecosostenibile [907] Corsi di laurea magistrale - UNICO,1
53,45,2,Laurea magistrale in Biotecnologie per le biorisorse e lo sviluppo ecosostenibile [907] Corsi di laurea magistrale - UNICO,1
54,2,2,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,1
54,2,3,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,1
54,99,2,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,1
54,99,3,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,1
55,11,1,Laurea magistrale in Ingegneria e scienze informatiche [417] Corsi di laurea magistrale - Classe LM-32,2
56,11,1,Laurea magistrale in Ingegneria e scienze informatiche [417] Corsi di laurea magistrale - Classe LM-32,2
56,11,2,Laurea magistrale in Ingegneria e scienze informatiche [417] Corsi di laurea magistrale - Classe LM-32,2
57,58,3,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,2
58,38,2,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,2
59,65,2,Laurea magistrale a ciclo unico in Medicina e chirurgia [395] Corsi di laurea magistrale a ciclo unico - UNICO,1
60,54,3,Laurea in Informatica [420] Corsi di laurea - UNICO,3
60,54,2,Laurea in Informatica [420] Corsi di laurea - UNICO,3
61,54,2,Laurea magistrale in Ingegneria e scienze informatiche [417] Corsi di laurea magistrale - Classe LM-32,2
62,81,2,Laurea magistrale in Ingegneria e scienze informatiche [417] Corsi di laurea magistrale - Classe LM-32,2
63,81,3,Laurea magistrale in Ingegneria e scienze informatiche [417] Corsi di laurea magistrale - Classe LM-32,2
64,49,3,Laurea magistrale in Ingegneria e scienze informatiche [417] Corsi di laurea magistrale - Classe LM-32,1
64,115,3,Laurea magistrale in Ingegneria e scienze informatiche [417] Corsi di laurea magistrale - Classe LM-32,1
65,72,2,Laurea magistrale in Ingegneria e scienze informatiche [417] Corsi di laurea magistrale - Classe LM-32,2
66,72,3,Laurea magistrale in Ingegneria e scienze informatiche [417] Corsi di laurea magistrale - Classe LM-32,2
67,67,2,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,"[1,2]"
67,67,3,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,"[1,2]"
68,36,2,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - MATHEMATICS FOR EDUCATION,1
68,36,3,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - MATHEMATICS FOR EDUCATION,1
68,36,2,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,1
68,36,3,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,1
68,63,2,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - MATHEMATICS FOR EDUCATION,1
68,63,3,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - MATHEMATICS FOR EDUCATION,1
