prof_id,week_day,hour_begin,hour_end,level,note,constraint
9,Wed,08:30,09:30,undesired,,"not (Wed, [08:30, 09:30])"
9,Wed,18:30,19:30,undesired,,"not (Wed, [18:30, 19:30])"
9,Thu,08:30,09:30,undesired,,"not (Thu, [08:30, 09:30])"
9,Thu,18:30,19:30,undesired,,"not (Thu, [18:30, 19:30])"
9,Fri,08:30,09:30,undesired,,"not (Fri, [08:30, 09:30])"
9,Mon,08:30,09:30,impossible,,"NOT (Mon, [08:30, 09:30])"
9,Fri,18:30,19:30,impossible,,"NOT (Fri, [18:30, 19:30])"
9,,,,,Commuter. Best from 10:30 to 12:30 or 11:30 to 13:30 on Tuesday and Thursday or Friday.,"Commuter & NOT Mon & NOT Wed & (OK (*, [10:30, 12:30]) | OK (*, [11:30, 13:30]))"
12,Mon,09:30,11:30,undesired,,"not (Mon, [09:30, 11:30])"
12,Fri,16:30,18:30,undesired,,"not (Fri, [16:30, 18:30])"
12,Mon,08:30,09:30,impossible,,"NOT (Mon, [08:30, 09:30])"
12,Fri,18:30,19:30,impossible,,"NOT (Fri, [18:30, 19:30])"
52,Mon,08:30,09:30,undesired,,"not (Mon, [08:30, 09:30])"
52,Wed,08:30,15:30,undesired,,"not (Wed, [08:30, 15:30])"
52,Wed,15:30,17:30,impossible,,"NOT (Wed, [15:30, 17:30])"
18,Wed,13:30,14:30,undesired,,"not (Wed, [13:30, 14:30])"
18,Fri,08:30,15:30,undesired,,"not (Fri, [08:30, 15:30])"
18,Wed,11:30,13:30,impossible,,"NOT (Wed, [11:30, 13:30])"
77,Mon,13:30,14:30,undesired,,"not (Mon, [13:30, 14:30])"
77,Tue,13:30,14:30,undesired,,"not (Tue, [13:30, 14:30])"
77,Tue,18:30,19:30,undesired,,"not (Tue, [18:30, 19:30])"
77,Wed,13:30,14:30,undesired,,"not (Wed, [13:30, 14:30])"
77,Wed,18:30,19:30,undesired,,"not (Wed, [18:30, 19:30])"
77,Thu,13:30,14:30,undesired,,"not (Thu, [13:30, 14:30])"
77,Thu,18:30,19:30,undesired,,"not (Thu, [18:30, 19:30])"
77,Fri,13:30,14:30,undesired,,"not (Fri, [13:30, 14:30])"
77,Mon,18:30,19:30,impossible,,"NOT (Mon, [18:30, 19:30])"
77,Fri,18:30,19:30,impossible,,"NOT (Fri, [18:30, 19:30])"
43,Mon,08:30,09:30,undesired,,"not (Mon, [08:30, 09:30])"
43,Tue,08:30,09:30,undesired,,"not (Tue, [08:30, 09:30])"
43,Tue,16:30,17:30,undesired,,"not (Tue, [16:30, 17:30])"
43,Wed,08:30,09:30,undesired,,"not (Wed, [08:30, 09:30])"
43,Wed,15:30,16:30,undesired,,"not (Wed, [15:30, 16:30])"
43,Thu,08:30,09:30,undesired,,"not (Thu, [08:30, 09:30])"
43,Thu,16:30,17:30,undesired,,"not (Thu, [16:30, 17:30])"
43,Fri,08:30,09:30,undesired,,"not (Fri, [08:30, 09:30])"
43,Mon,15:30,16:30,impossible,,"NOT (Mon, [15:30, 16:30])"
43,Fri,15:30,16:30,impossible,,"NOT (Fri, [15:30, 16:30])"
43,,,,,NO after 15:30. Best 9:30-12:30 or 13:30-15:30.,"NOT (*, [15:30, inf]) & (OK (*, [9:30, 12:30]) | OK (*, [13:30, 15:30]))"
86,Mon,10:30,12:30,undesired,,"not (Mon, [10:30, 12:30])"
86,Tue,14:30,16:30,undesired,,"not (Tue, [14:30, 16:30])"
86,Wed,14:30,16:30,undesired,,"not (Wed, [14:30, 16:30])"
86,Mon,08:30,10:30,impossible,,"NOT (Mon, [08:30, 10:30])"
